modelo,n,alpha_hat,beta_hat,erro_padrao_beta,estatistica_t,p_valor,ic95_beta_inferior,ic95_beta_superior,r2,r2_ajustado
Gemini,47,-0.1454410259381577,0.32090744925352954,0.07256226111066653,4.422511707071883,6.114119337924956e-05,0.17475955324567924,0.4670553452613798,0.3029589679831345,0.2874691672716486
Léxico (baseline),49,0.2407703117015841,-0.0014690853346959521,0.04079451748456439,-0.03601183260107971,0.9714254418176571,-0.08353706889645142,0.08059889822705953,2.7591836271434467e-05,-0.021248416848063112
