modelo,n,alpha_hat,beta_hat,erro_padrao_beta,estatistica_t,p_valor,ic95_beta_inferior,ic95_beta_superior,r2,r2_ajustado
Gemini,50,-0.1615523112450585,0.3246702414967317,0.07061509316476344,4.597745707694406,3.124916940676705e-05,0.182689080766785,0.46665140222667834,0.3057490618598362,0.29128550064858283
Claude,50,-0.33693877551020407,0.4724489795918367,0.09397859007347194,5.027197995016511,7.347935503988692e-06,0.28349235991759436,0.661405599266079,0.34491308349262106,0.33126543939871733
OpenAI,50,-0.42882792301062916,0.4808962941683425,0.11899613832711138,4.041276472740611,0.00019127157101192163,0.24163852242479136,0.7201540659118937,0.2538695668362678,0.23832518281202342
Léxico (baseline),50,0.22842815147847134,0.00249499765322003,0.040395652643311235,0.06176401394601938,0.95100723049637,-0.07872590560833671,0.08371590091477678,7.946854713813956e-05,-0.020752209191463145
